MP_15116_ID1011026779;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-30;+++;Klebsiella pneumoniae;574;957e6d54-9e39-4411-b40a-aba10c9dd80e;2.425;+++;Klebsiella pneumoniae;72407;a9d7959d-f118-4767-8c3d-45a1d78a55b6;2.384;+++;Klebsiella pneumoniae;573;4a03d1e5-1c17-4b90-8d94-5091e2e7d7f8;2.368;+++;Klebsiella pneumoniae;72407;3e02cabe-a9bd-4c66-bf2f-a615da9ba322;2.307;+++;Klebsiella pneumoniae;573;7e842d1d-d2e0-4346-9cfc-093c4642afda;2.296;+++;Klebsiella pneumoniae;72407;feea4ab1-8d78-4d76-a3fa-8c3935cae865;2.255;+++;Klebsiella pneumoniae;574;d0bae1a8-8c08-482c-81d7-eb39ae1d9bd0;22.febr;+++;Klebsiella pneumoniae;573;64325e4d-299c-4140-9e74-b41e5df11188;2.193;+++;Klebsiella variicola;244366;e6c028ed-e721-403d-a108-f966529dc6e3;2.086;+++;Klebsiella variicola;244366;1a6e49cf-f341-4bcb-b422-a3c1ab0d84cc;2.028
MP_15117_ID1011026779;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-30;+++;Streptococcus pyogenes;1314;4bceb888-5f09-487b-a9bf-c2f555e6b341;2.527;+++;Streptococcus pyogenes;1314;4898cfc4-ff02-48f0-96d4-6f80ced7031c;2.52;+++;Streptococcus pyogenes;1314;248c2b00-321f-4c71-9f8d-145526e805d1;2.508;+++;Streptococcus pyogenes;1314;9d564b4d-62ba-4558-a6bd-caffb37bd65a;2.504;+++;Streptococcus pyogenes;1314;16f6aeb9-8255-45be-a10b-ba332b6012c4;2.475;+++;Streptococcus pyogenes;1314;61b1b3bf-f543-4162-bd0f-4dad8a71462c;2.459;+++;Streptococcus pyogenes;1314;5287cdcb-9e08-4bf8-b891-66122a5c60ce;2.451;+++;Streptococcus pyogenes;1314;fee928a5-7176-40bf-8c14-211de61fe152;2.336;+++;Streptococcus dysgalactiae;1334;8a74e117-7e37-4ed0-9745-26a020263eb1;2.013;+;Streptococcus dysgalactiae;1334;9444c20e-0298-4ee3-8677-91892d3dfffe;1.999
MP_15118_ID1011026779;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-30;++;Bacillus oceanisediminis;1386;539b7368-756a-44a5-8b32-6f29ee4545c6;2.269;+;Bacillus oceanisediminis;1386;718f6b3e-d03e-4d11-bbf8-07d83a5c15e4;1.771;-;not reliable identification;E1;676e7d08-9e7f-444e-b8d2-b296277d6f32;1.527;-;not reliable identification;E1;dda14e24-de4c-49b8-928c-865635b35944;1.415;-;not reliable identification;E1;0a416a17-f38d-4a8c-84d2-694a529b211c;1.304;-;not reliable identification;E1;69770af0-c008-4709-b50f-9c4470c27f07;1.296;-;not reliable identification;E1;8198910d-cd4e-4a43-a7c3-f62f297e7fbc;1.291;-;not reliable identification;E1;50d64663-4c76-42a1-8c4e-b9c68aa424e8;1.278;-;not reliable identification;E1;3227bc76-d39e-476b-9beb-e22f43c4e7d5;1.275;-;not reliable identification;E1;de9260e9-ef6b-417a-ae76-182e88124e81;1.257
MP_15119_ID1011026779;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-30;++;Staphylococcus epidermidis;1282;ca61ac93-70f3-4aba-a3cd-b69ba1df29c9;2.222;++;Staphylococcus epidermidis;1282;219bdfd0-cd3d-48ae-a3ed-1245691e8c9e;2.132;++;Staphylococcus epidermidis;1282;cf58e860-e8a8-42cb-9f41-cfea4536d54e;2.054;+;Staphylococcus epidermidis;1282;b487a1e3-895e-49ae-bc1c-e940757982cc;1.924;+;Staphylococcus epidermidis;1282;affdd5db-be8f-4ee6-b395-757b3b820a98;1.911;+;Staphylococcus epidermidis;1282;cbefbe40-89e4-438c-81ca-ac8d312eda6d;1.901;+;Staphylococcus epidermidis;1282;fc503196-43eb-4d43-ba09-406712713928;1.847;+;Staphylococcus epidermidis;1282;d8f3d81b-5949-4fec-96db-056d2d22cab7;1.821;+;Staphylococcus epidermidis;1282;2f7eae59-d395-4226-8734-f0f113d9abe9;1.768;+;Staphylococcus epidermidis;1282;84f155e4-1600-46a5-afea-eafb27233290;1.716
MP_15120_ID1011026779;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-30;++;Staphylococcus haemolyticus;1283;47e7c312-231a-4f79-a192-9dccad334d7c;2.269;++;Staphylococcus haemolyticus;1283;4e977d76-2fa4-4a91-842d-dfb21e083370;2.013;+;Staphylococcus haemolyticus;1283;c36e44ee-514d-4ba3-a77a-244e0e01929f;1.932;+;Staphylococcus haemolyticus;1283;bb1d3135-1a65-486b-8740-a5704725bf02;1.882;+;Staphylococcus haemolyticus;1283;5e0d2b36-f285-4c37-b3f8-8a957c1b54b5;1.868;+;Staphylococcus haemolyticus;1283;e4efd75f-bbb0-4c0f-89d2-9e180310609d;1.832;+;Staphylococcus haemolyticus;1283;37f3ad54-a305-4c0d-a883-fd1492bfdf2d;1.826;+;Staphylococcus haemolyticus;1283;451d1f50-5b99-4280-b8cb-cff5f725a5d8;1.787;+;Staphylococcus haemolyticus;1283;61b34193-e250-4efa-9fc9-2057aa633e28;1.74;+;Staphylococcus haemolyticus;1283;a17b8a09-e99a-41b2-b121-255c6e33b567;1.718
MP_15121_ID1011026779;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-30;++;Bacillus subtilis;1423;23ce2a7b-23cc-4863-af14-3101f6525821;2.056;+;Bacillus subtilis;135461;78746211-3f33-4ac4-9ec0-b20be357a00c;1.977;+;Bacillus subtilis;1423;286b7fb1-e136-4ebf-9b0b-71da8923f4cb;1.95;+;Bacillus subtilis;135461;f14cb980-2d14-4686-80ea-896d3f4f576c;1.943;-;not reliable identification;E1;cb7d690b-1795-4d9f-8ee4-1576a55c9d4d;1.651;-;not reliable identification;E1;66e762b0-671a-4299-b71d-f78c15eb59fe;1.597;-;not reliable identification;E1;8fc0b3ad-e20d-49ef-a66b-1db8316f41b4;1.574;-;not reliable identification;E1;c581ff6c-a6dc-4c6d-b54d-cd208808f2a5;1.567;-;not reliable identification;E1;88056f74-d73a-469e-be12-b3f1c2bc95e4;1.564;-;not reliable identification;E1;c95906fd-5b1d-4cb3-8bd0-e1757da57032;1.525
MP_15122_ID1011026779;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-30;+++;Enterococcus faecalis;1351;0ae85b21-2783-4fe6-9c04-96877702d15a;2.345;++;Enterococcus faecalis;1351;0bba480e-241f-4e83-b6f5-58e80a06389e;29.febr;++;Enterococcus faecalis;1351;1cc3022d-bf5d-422d-aa5a-c1c5889e84de;2.217;++;Enterococcus faecalis;1351;4cea4049-e540-44da-a3c7-28a257f47036;21.febr;++;Enterococcus faecalis;1351;a4ab8bfd-4128-4b50-9270-292f99bdad8d;2.171;++;Enterococcus faecalis;1351;a82c73c8-b1b2-4bda-bb0d-2cae2de47f5c;2.138;++;Enterococcus faecalis;1351;46d48674-c407-48fe-b85b-300977b0558f;2.111;++;Enterococcus faecalis;1351;f3aaad09-d984-4b9c-b55c-f2437ed1217d;2.033;+;Enterococcus faecalis;1351;ba0bb1df-5786-450a-ac91-fe4096b1a3e1;1.952;+;Enterococcus faecalis;1351;2aeff100-21f3-40c1-a875-36462325a3ed;1.704
MP_15123_ID1011026779;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-30;++;Staphylococcus capitis;72758;6e8c1752-3615-4167-bbc4-e2101bd745ec;2.207;++;Staphylococcus capitis;72758;ad4829e0-beb1-4f06-9d16-e3bd1707afb2;2.159;++;Staphylococcus capitis;72758;cfe9f50c-c0f7-462e-b828-25b7156cf9e5;2.019;+;Staphylococcus capitis;74703;98f4ade2-6a6d-4696-946e-2bc0331c0c6a;1.925;+;Staphylococcus capitis;72758;c9999c48-5bd3-4c37-ab54-ed25af902121;1.893;+;Staphylococcus capitis;72758;7ff5c2d5-93f0-4f1b-b1e3-edc061f22e96;1.818;-;not reliable identification;E1;ae10ca58-4de5-4877-a03e-675f6b6826df;1.538;-;not reliable identification;E1;cbefbe40-89e4-438c-81ca-ac8d312eda6d;1.458;-;not reliable identification;E1;617a72b8-eefb-4c85-a9f1-e010ae7eeced;1.442;-;not reliable identification;E1;219bdfd0-cd3d-48ae-a3ed-1245691e8c9e;1.429
MP_15124_ID1011026779;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-30;++;Staphylococcus warneri;1292;d153c9c7-bc52-494e-b576-994839c2cb65;2.169;++;Staphylococcus warneri;1292;e4c22d93-138e-48d5-820d-98751b855c0e;2.107;++;Staphylococcus warneri;1292;afd71a76-0e5f-4e4f-8a8a-c2b83501bf18;2.062;++;Staphylococcus warneri;1292;30e0768a-9e7f-4c3c-ad1f-471557c50943;2.048;+;Staphylococcus warneri;1292;0203172b-1116-4ddc-8850-cb871f84be31;1.934;+;Staphylococcus pasteuri;45972;c98e7b49-3671-46fa-b899-9b5482a17e0f;1.891;-;not reliable identification;E1;2344667f-d5fe-4432-ab1f-a4cb850df995;1.581;-;not reliable identification;E1;83602a72-0f13-424e-85e6-4ba6156692f3;1.531;-;not reliable identification;E1;5f1cae44-63e1-4b28-a517-3b64d2c13af4;1.525;-;not reliable identification;E1;c57e9940-b0d6-4b87-b577-ca47678f1780;1.519
MP_15125_ID1011026779;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-30;++;Staphylococcus hominis;145393;5e23b082-76aa-4165-b045-a5d492cfc0f4;2.207;++;Staphylococcus hominis;1290;605f3c45-5813-4f3b-a6b5-167657d17554;2.095;++;Staphylococcus hominis;1290;ea5a5ac9-9ac0-4140-9847-5ab41db0adcd;2.008;+;Staphylococcus hominis;1290;6dc4986b-ecd2-437c-8e4d-6d95b5336e8c;1.852;+;Staphylococcus hominis;145391;7b34c231-ee3b-4b58-bf7f-80de1314ce76;1.812;+;Staphylococcus hominis;145391;361808e4-83a8-45a7-9482-a3ab48717b0a;1.732;+;Staphylococcus hominis;145391;cb25c9df-d4c9-4510-9627-ac25c9d32102;1.712;-;not reliable identification;E1;e42fa5b3-2a7d-46d6-b2e9-f55f49b91e95;1.623;-;not reliable identification;E1;219bdfd0-cd3d-48ae-a3ed-1245691e8c9e;1.371;-;not reliable identification;E1;ad4829e0-beb1-4f06-9d16-e3bd1707afb2;1.276
MP_15126_ID1011026779;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-30;++;Staphylococcus capitis;72758;ad4829e0-beb1-4f06-9d16-e3bd1707afb2;2.141;++;Staphylococcus capitis;72758;6e8c1752-3615-4167-bbc4-e2101bd745ec;2.124;+;Staphylococcus capitis;72758;cfe9f50c-c0f7-462e-b828-25b7156cf9e5;1.986;+;Staphylococcus capitis;72758;7ff5c2d5-93f0-4f1b-b1e3-edc061f22e96;1.857;+;Staphylococcus capitis;74703;98f4ade2-6a6d-4696-946e-2bc0331c0c6a;1.818;+;Staphylococcus capitis;72758;c9999c48-5bd3-4c37-ab54-ed25af902121;1.735;-;not reliable identification;E1;ae10ca58-4de5-4877-a03e-675f6b6826df;1.567;-;not reliable identification;E1;617a72b8-eefb-4c85-a9f1-e010ae7eeced;1.565;-;not reliable identification;E1;cbefbe40-89e4-438c-81ca-ac8d312eda6d;1.461;-;not reliable identification;E1;a117eb82-150b-4ff4-9168-bf5052681c4f;1.44
