MP_12343_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-20;+;Staphylococcus xylosus;1288;8fb18abc-00cf-4cd3-aa8c-dc5f90de0783;1.991;+;Staphylococcus xylosus;1288;2c6f2c33-a803-4e7e-b851-32052f90e808;1.949;+;Staphylococcus xylosus;1288;6cded61b-80af-4a13-b8f8-ccc6d61e07bc;1.931;+;Staphylococcus xylosus;1288;c8c3102f-a402-4b68-a957-81c2ed0badb5;1.92;+;Staphylococcus xylosus;1288;41e1a0a1-2274-4b67-a6d6-c9c8caa20979;1.903;-;not reliable identification;E1;404a7c87-683d-4eaf-81d7-b5726459f8eb;1.648;-;not reliable identification;E1;b73333c2-2893-4d8e-b7ed-26b1a699bf1e;1.608;-;not reliable identification;E1;b91eeae6-8538-474d-a843-6de0a8e4ecf2;1.503;-;not reliable identification;E1;e4e2058c-47d4-4569-9da3-3e013b6b3fca;1.499;-;not reliable identification;E1;76741875-e57d-4144-b479-d2df04d1358c;1.458
MP_12344_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-20;-;no peaks found;E2;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MP_12345_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-20;-;no peaks found;E2;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MP_12346_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-20;++;Streptococcus salivarius;1304;e64a686a-6a5b-43cf-a5a0-ef23d8416f43;2.241;++;Streptococcus salivarius;1304;e434b01b-1121-4da0-9358-46b25895491e;2.096;++;Streptococcus vestibularis;1343;fcdb42ab-e627-4f12-a54d-6480d622b94b;2.064;++;Streptococcus vestibularis;1343;b042b58b-0d95-4f68-a29d-3692809bf462;2.049;++;Streptococcus salivarius;1304;0437e1e0-67ea-4b50-9b88-38c656addbad;2.046;++;Streptococcus salivarius;1304;2c161b13-e344-4489-a251-6875d1d70e19;2.022;++;Streptococcus salivarius;1304;d12d42e2-c52e-4528-8313-24fddddec627;2.006;++;Streptococcus vestibularis;1343;bf596438-433e-4091-aabc-186578c698d0;2.003;+;Streptococcus vestibularis;1343;de86a098-6887-4ca5-9f31-e5cab614d53a;1.87;+;Streptococcus vestibularis;1343;ea151e5b-b303-4ec0-b0f0-28766554ef1c;1.87
MP_12347_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-20;++;Staphylococcus epidermidis;1282;affdd5db-be8f-4ee6-b395-757b3b820a98;2.014;+;Staphylococcus epidermidis;1282;84f155e4-1600-46a5-afea-eafb27233290;1.947;+;Staphylococcus epidermidis;1282;ca61ac93-70f3-4aba-a3cd-b69ba1df29c9;1.867;+;Staphylococcus epidermidis;1282;cf58e860-e8a8-42cb-9f41-cfea4536d54e;1.854;+;Staphylococcus epidermidis;1282;d8f3d81b-5949-4fec-96db-056d2d22cab7;1.746;+;Staphylococcus epidermidis;1282;b487a1e3-895e-49ae-bc1c-e940757982cc;1.723;+;Staphylococcus caprae;29380;a117eb82-150b-4ff4-9168-bf5052681c4f;1.717;+;Staphylococcus epidermidis;1282;fc503196-43eb-4d43-ba09-406712713928;1.703;-;not reliable identification;E1;cbefbe40-89e4-438c-81ca-ac8d312eda6d;1.682;-;not reliable identification;E1;219bdfd0-cd3d-48ae-a3ed-1245691e8c9e;1.626
MP_12348_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-20;+++;Paenibacillus thiaminolyticus;49283;7de5fa8c-bcf5-4398-b8d9-9ca222b6b5a9;2.313;+;Paenibacillus thiaminolyticus;49283;2f913a7d-05f1-48f0-b04d-15b5e9634327;1.776;+;Paenibacillus thiaminolyticus;49283;a5aaec70-a70a-4405-83ee-c4535ff92815;1.71;-;not reliable identification;E1;cb30245e-84d7-4803-a9f2-f3ea59762afa;1.519;-;not reliable identification;E1;e6180b9d-48c8-4743-a511-986e6d470e7c;1.464;-;not reliable identification;E1;d751d1b5-5932-4bc5-8c99-a8e0fbd099c1;1.338;-;not reliable identification;E1;5ed03a96-e6d8-431a-9d7f-bb2ce92df2db;1.265;-;not reliable identification;E1;27063a62-846a-46a5-8036-5ff1a3e57a7c;1.261;-;not reliable identification;E1;be827ad5-8cce-427c-aacf-8ea8bab1581b;1.236;-;not reliable identification;E1;b32b469a-da9c-4c6b-813b-4173114887cb;1.235
MP_12349_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-20;+++;Micrococcus luteus;1270;03baea4f-ab2e-41fa-b92c-57426f337467;2.435;++;Micrococcus luteus;1270;8a9c776c-2313-4855-8887-5aff2ca98ff9;2.248;++;Micrococcus luteus;1270;9e126652-4575-4da4-99b5-5f8495523218;2.212;++;Micrococcus luteus;1270;70588a60-89e1-4f56-9f47-3c2ac3b9032d;2.192;++;Micrococcus luteus;1270;beec53ae-2e07-4400-8077-cd2fbf74766f;2.159;++;Micrococcus luteus;1270;6ed61691-9887-4655-a4a7-2fbbc2bc9d05;2.088;++;Micrococcus luteus;1270;df205b83-8258-4046-aa99-d71c818c6628;2;+;Micrococcus luteus;1270;7e64b71c-e9cd-4869-8f9d-4fa2b2e86d5b;1.999;+;Micrococcus luteus;1270;a4ed63bb-50dc-409f-a34d-d85c8ca123be;1.98;+;Micrococcus luteus;1270;590ee0ac-a5f2-4115-9d49-64d11d738754;1.872
MP_12350_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-20;++;Staphylococcus epidermidis;1282;cf58e860-e8a8-42cb-9f41-cfea4536d54e;2.351;+;Staphylococcus epidermidis;1282;219bdfd0-cd3d-48ae-a3ed-1245691e8c9e;1.887;+;Staphylococcus epidermidis;1282;affdd5db-be8f-4ee6-b395-757b3b820a98;1.869;+;Staphylococcus epidermidis;1282;b487a1e3-895e-49ae-bc1c-e940757982cc;1.86;+;Staphylococcus epidermidis;1282;cbefbe40-89e4-438c-81ca-ac8d312eda6d;1.811;+;Staphylococcus epidermidis;1282;ca61ac93-70f3-4aba-a3cd-b69ba1df29c9;1.749;+;Staphylococcus epidermidis;1282;d8f3d81b-5949-4fec-96db-056d2d22cab7;1.735;-;not reliable identification;E1;fc503196-43eb-4d43-ba09-406712713928;1.65;-;not reliable identification;E1;a117eb82-150b-4ff4-9168-bf5052681c4f;1.475;-;not reliable identification;E1;6bfdfee7-a2d2-43e9-bad6-a5bf9f4790b9;1.394
MP_12351_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-20;+++;Herbaspirillum huttiense;86172;7e28bdca-afaa-4744-b3e1-efdecea5f75a;2.382;++;Herbaspirillum aquaticum;963;abf88f18-20f8-47da-81bd-38151985f539;2.117;+;Herbaspirillum huttiense;86172;421dd3e7-8e64-4652-8603-a97a70c3b96f;1.913;+;Herbaspirillum huttiense;86172;8504f1b4-458f-4e9a-9925-3511957a3f44;1.793;-;not reliable identification;E1;e1405691-68e7-452c-82df-5537ecf8efcc;1.558;-;not reliable identification;E1;37fd605c-bc23-42d1-a503-fb7743547a4e;1.552;-;not reliable identification;E1;efee5572-23de-4719-8da5-f41320d1da33;1.43;-;not reliable identification;E1;1e3b4ec5-11c0-45ad-98f1-d1e604dac938;1.411;-;not reliable identification;E1;532d0f87-0cbf-49fe-9abb-63a44ed0126a;1.281;-;not reliable identification;E1;ee2c1557-af9d-4173-9243-2ed071d229ee;1.276
MP_12352_ID1011025858;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-07-20;++;Paenibacillus illinoisensis;59845;96a8a233-2d07-490e-ba9f-4131f8e3f1ad;2.115;++;Paenibacillus illinoisensis;59845;93074149-f3ea-490d-863e-8cc1e136c0ac;2.086;+;Paenibacillus xylanilyticus;248903;a0eaf882-7642-403b-b300-33ac162dc28d;1.843;+;Paenibacillus pabuli;1472;30f85155-6e4b-45ee-a86f-e687b19f883d;1.731;-;not reliable identification;E1;e677fd22-2840-4c83-91a2-8d2b608b7a54;1.532;-;not reliable identification;E1;5ed03a96-e6d8-431a-9d7f-bb2ce92df2db;05.jan;-;not reliable identification;E1;fb69c4cb-b609-4094-9404-4b8358892c43;1.424;-;not reliable identification;E1;3a2cec9d-bff0-4723-99cb-90728c0b68fd;1.354;-;not reliable identification;E1;06756379-2a87-405e-bd01-612b5e37f97c;1.353;-;not reliable identification;E1;da9aaf11-9430-4a40-9cc6-3b439c2b651e;1.348
