MP_91229_ID1011026780;Kocuria rhizophila;1.893;
MP_91230_ID1011026780;Kocuria rhizophila;2.044;
MP_91231_ID1011026780;Staphylococcus hominis;2.141;
MP_91232_ID1011026780;Staphylococcus haemolyticus;2.018;
MP_91233_ID1011026780;Staphylococcus epidermidis;2.161;
MP_91234_ID1011026780;Micrococcus luteus;2.404;
MP_91235_ID1011026780;Micrococcus luteus;2.36;
MP_91236_ID1011026780;Micrococcus luteus;2.201;
MP_91237_ID1011026780;Micrococcus luteus;2.328;
MP_91238_ID1011026780;Kocuria rhizophila;2.149;
MP_91239_ID1011026780;Staphylococcus haemolyticus;2.335;
MP_91240_ID1011026780;Bacillus pumilus;2.001;
MP_91241_ID1011026780;Micrococcus luteus;2.342;
MP_91242_ID1011026780;Staphylococcus haemolyticus;05.febr;
MP_91243_ID1011026780;Staphylococcus hominis;2.009;
MP_91244_ID1011026780;Staphylococcus hominis;2.119;
MP_91245_ID1011026780;Bacillus flexus;2.264;
MP_91246_ID1011026780;Staphylococcus haemolyticus;2.368;
MP_91247_ID1011026780;Paenarthrobacter aurescens;2.147;
MP_91248_ID1011026780;Staphylococcus epidermidis;17.febr;
MP_91249_ID1011026780;Micrococcus luteus;2.35;
MP_91250_ID1011026780;Micrococcus luteus;2.292;
MP_91251_ID1011026780;Staphylococcus epidermidis;2.006;
MP_91252_ID1011026780;Micrococcus luteus;2.254;
MP_91253_ID1011026780;Staphylococcus haemolyticus;2.397;
MP_91254_ID1011026780;not reliable identification;1.286;
MP_91255_ID1011026780;Corynebacterium mucifaciens;2.083;
MP_91256_ID1011026780;Staphylococcus hominis;2.198;
MP_91257_ID1011026780;Micrococcus luteus;2.383;
MP_91258_ID1011026780;Staphylococcus epidermidis;2.003;
MP_91259_ID1011026780;Staphylococcus warneri;2.093;
MP_91260_ID1011026780;Staphylococcus epidermidis;2.162;
MP_91261_ID1011026780;Staphylococcus warneri;2.019;
MP_91262_ID1011026780;Micrococcus luteus;2.253;
MP_91263_ID1011026780;not reliable identification;1.559;
MP_91264_ID1011026780;Acinetobacter schindleri;2.101;
MP_91265_ID1011026780;Micrococcus luteus;2.085;
MP_91266_ID1011026780;Staphylococcus hominis;2.261;
MP_91267_ID1011026780;Micrococcus luteus;2.323;
MP_91268_ID1011026780;Staphylococcus epidermidis;2.103;
MP_91269_ID1011026780;Corynebacterium mucifaciens;2.063;
MP_91270_ID1011026780;Micrococcus luteus;1.94;
MP_91271_ID1011026780;Micrococcus luteus;2.518;
MP_91272_ID1011026780;Micrococcus luteus;2.302;
MP_91273_ID1011026780;Micrococcus luteus;2.253;
MP_91274_ID1011026780;Staphylococcus capitis;2.352;
MP_91275_ID1011026780;Staphylococcus capitis;2.235;
MP_91276_ID1011026780;Micrococcus luteus;2.359;
MP_91277_ID1011026780;Staphylococcus epidermidis;2.249;
MP_91278_ID1011026780;Micrococcus luteus;1.898;
MP_91279_ID1011026780;Staphylococcus hominis;2.149;
MP_91280_ID1011026780;Staphylococcus epidermidis;2.137;
MP_91281_ID1011026780;not reliable identification;1.373;
MP_91282_ID1011026780;Staphylococcus hominis;2.011;
MP_91283_ID1011026780;not reliable identification;1.628;
MP_91284_ID1011026780;Staphylococcus epidermidis;2.147;
MP_91285_ID1011026780;Staphylococcus hominis;2.129;
MP_91286_ID1011026780;Aerococcus viridans;2.039;
MP_91287_ID1011026780;Staphylococcus lugdunensis;2.423;
MP_91288_ID1011026780;no peaks found;0;
MP_91289_ID1011026780;no peaks found;0;
