MP_15047_ID1011025858;Ralstonia pickettii;2.112
MP_15048_ID1011025858;Sphingomonas echinoides;2.026
MP_15049_ID1011025858;Ralstonia pickettii;2.161
MP_15050_ID1011025858;Comamonas testosteroni;2.134
MP_15051_ID1011025858;Staphylococcus epidermidis;2.541
MP_15052_ID1011025858;Herbaspirillum huttiense;2.382
MP_15053_ID1011025858;Paenibacillus illinoisensis;2.115
MP_15054_ID1011025858;Burkholderia cepacia;2.266
MP_15055_ID1011025858;Micrococcus luteus;2.188
MP_15056_ID1011025858;Bacillus oceanisediminis;2.306
MP_15057_ID1011025858;Acinetobacter lwoffii;2.282
MP_15058_ID1011025858;Bacillus oceanisediminis;2.231
MP_15059_ID1011025858;Staphylococcus hominis;2.251
MP_15060_ID1011025858;Bacillus litoralis;2.116
MP_15061_ID1011025858;Staphylococcus epidermidis;2.236
MP_15062_ID1011025858;Staphylococcus capitis;2.243
MP_15063_ID1011025858;Staphylococcus warneri;2.108
MP_15064_ID1011025858;Micrococcus luteus;2.266
MP_15065_ID1011025858;Bacillus thuringiensis;2.037
MP_15066_ID1011025858;Staphylococcus epidermidis;2.165
MP_15067_ID1011025858;Staphylococcus hominis;2.268
MP_15068_ID1011025858;Staphylococcus capitis;2.169
MP_15069_ID1011025858;Staphylococcus hominis;2.207
MP_15070_ID1011025858;Staphylococcus capitis;2.141
MP_15071_ID1011025858;Micrococcus luteus;2.287
MP_15072_ID1011025858;Bacillus litoralis;2.116
MP_15073_ID1011025858;Alcaligenes faecalis;2.481
MP_15074_ID1011025858;Alcaligenes faecalis;2.219
MP_15075_ID1011025858;Bacteroides fragilis;2.501
MP_15076_ID1011025858;Bacteroides fragilis;2.537
MP_15077_ID1011025858;Bacteroides thetaiotaomicron;2.058
MP_15078_ID1011025858;Ralstonia pickettii;2.475
MP_15079_ID1011025858;Comamonas testosteroni;2.306
MP_15080_ID1011025858;Campylobacter jejuni;2.448
MP_15081_ID1011025858;Campylobacter jejuni;2.467
MP_15082_ID1011025858;Massilia timonae;2.318
MP_15083_ID1011025858;Ralstonia pickettii;2.162
MP_15084_ID1011025858;Methylobacterium rhodesianum;2.136
MP_15085_ID1011025858;Candida lusitaniae;2.242
MP_15086_ID1011025858;not reliable identification;1.256
MP_15087_ID1011025858;Purpureocillium lilacinum;2.268
MP_15088_ID1011025858;Enterococcus faecium;2.529
MP_15089_ID1011025858;Enterococcus faecium;2.582
MP_15090_ID1011025858;Escherichia coli;2.297
