MP_12535_ID1011025858;Bacillus oceanisediminis;2.316;
MP_12536_ID1011025858;Bacillus mojavensis;2.006;
MP_12537_ID1011025858;Bacillus oceanisediminis;2.269;
MP_12538_ID1011025858;Staphylococcus epidermidis;2.222;
MP_12539_ID1011025858;Staphylococcus haemolyticus;2.269;
MP_12540_ID1011025858;Bacillus subtilis;2.056;
MP_12541_ID1011025858;Enterococcus faecalis;2.345;
MP_12542_ID1011025858;Staphylococcus capitis;2.207;
MP_12543_ID1011025858;Staphylococcus warneri;2.169;
MP_12544_ID1011025858;Staphylococcus hominis;2.207;
MP_12545_ID1011025858;Staphylococcus capitis;2.141;
MP_12546_ID1011025858;Micrococcus luteus;2.287;
MP_12547_ID1011025858;Corynebacterium tuberculostearicum;2.077;
MP_12548_ID1011025858;Staphylococcus capitis;2.302;
MP_12549_ID1011025858;Bacillus thuringiensis;2.037;
MP_12550_ID1011025858;Staphylococcus capitis;2.243;
MP_12551_ID1011025858;Staphylococcus warneri;2.108;
MP_12552_ID1011025858;Micrococcus luteus;2.266;
MP_12553_ID1011025858;Corynebacterium tuberculostearicum;1.998;
MP_12554_ID1011025858;Staphylococcus epidermidis;2.165;
MP_12555_ID1011025858;Staphylococcus hominis;2.268;
MP_12556_ID1011025858;Staphylococcus capitis;2.169;
MP_12557_ID1011025858;not reliable identification;1.555;
MP_12558_ID1011025858;Escherichia coli;2.365;
MP_12559_ID1011025858;Pseudomonas aeruginosa;2.348;
MP_12560_ID1011025858;Bacillus oceanisediminis;2.316;
MP_12561_ID1011025858;Aspergillus niger;2.373;
MP_12562_ID1011025858;Bacillus mojavensis;2.006;
MP_12563_ID1011025858;Bacillus oceanisediminis;2.269;
MP_12564_ID1011025858;Micrococcus luteus;2.294;
MP_12565_ID1011025858;Micrococcus luteus;2.294;
MP_12566_ID1011025858;Ralstonia pickettii;2.421;
MP_12567_ID1011025858;Kocuria rhizophila;1.84;
MP_12568_ID1011025858;Micrococcus luteus;2.127;
MP_12569_ID1011025858;Kocuria rhizophila;2.023;
MP_12570_ID1011025858;not reliable identification;1.361;
MP_12571_ID1011025858;Staphylococcus pasteuri;2.162;
MP_12572_ID1011025858;Staphylococcus hominis;2.314;
MP_12573_ID1011025858;Kocuria rhizophila;2.223;
MP_12574_ID1011025858;not reliable identification;1.588;
MP_12575_ID1011025858;Ralstonia pickettii;2.33;
MP_12576_ID1011025858;Ralstonia pickettii;2.275;
MP_12577_ID1011025858;Staphylococcus xylosus;2.047;
MP_12578_ID1011025858;Salmonella sp;2.447;
MP_12579_ID1011025858;Corynebacterium mucifaciens;2.105;
MP_12580_ID1011025858;Bacillus simplex;1.739;
MP_12581_ID1011025858;Micrococcus luteus;2.235;
MP_12582_ID1011025858;Fictibacillus arsenicus;2.053;
MP_12583_ID1011025858;Candida parapsilosis;2.219;
MP_12584_ID1011025858;Staphylococcus epidermidis;2.165;
MP_12585_ID1011025858;Staphylococcus warneri;2.097;
MP_12586_ID1011025858;Kocuria rhizophila;1.875;
MP_12587_ID1011025858;Staphylococcus epidermidis;1.893;
MP_12588_ID1011025858;Purpureocillium lilacinum;2.268;
MP_12589_ID1011025858;Pseudomonas aeruginosa;2.429;
MP_12590_ID1011025858;Escherichia coli;2.311;
MP_12591_ID1011025858;Staphylococcus aureus;2.244;
MP_12592_ID1011025858;Sphingomonas melonis;2.071;
MP_12593_ID1011025858;Sphingobacterium spiritivorum;2.444;
MP_12594_ID1011025858;Candida glabrata;2.326;
MP_12595_ID1011025858;Candida glabrata;2.358;
MP_12596_ID1011025858;Proteus vulgaris;2.532;
MP_12597_ID1011025858;Proteus vulgaris;2.493;
MP_12598_ID1011025858;Kocuria kristinae;2.319;
MP_12599_ID1011025858;Kocuria kristinae;2.426;
MP_12600_ID1011025858;Staphylococcus sciuri;2.345;
MP_12601_ID1011025858;Streptococcus equi_ssp_zooepidemicus;2.582;
MP_12602_ID1011025858;Penicillium chrysogenum;1.928;
MP_12603_ID1011025858;Micrococcus luteus;2.435;
MP_12604_ID1011025858;Candida albicans;2.153;
MP_12605_ID1011025858;Streptococcus salivarius;2.241;
MP_12606_ID1011025858;Staphylococcus epidermidis;2.014;
MP_12607_ID1011025858;Paenibacillus thiaminolyticus;2.313;
MP_12608_ID1011025858;Staphylococcus epidermidis;2.031;
MP_12609_ID1011025858;Herbaspirillum huttiense;2.382;
MP_12610_ID1011025858;Paenibacillus illinoisensis;2.115;
MP_12611_ID1011025858;Burkholderia cepacia;2.266;
MP_12612_ID1011025858;Micrococcus luteus;2.188;
MP_12613_ID1011025858;Staphylococcus haemolyticus;2.087;
MP_12614_ID1011025858;Methylobacterium radiotolerans;1.981;
MP_12615_ID1011025858;Staphylococcus haemolyticus;1.951;
MP_12616_ID1011025858;Staphylococcus warneri;2.049;
MP_12617_ID1011025858;not reliable identification;1.369;
MP_12618_ID1011025858;Bacillus horneckiae;2.223;
MP_12619_ID1011025858;Staphylococcus warneri;1.913;
MP_12620_ID1011025858;not reliable identification;1.694;
MP_12621_ID1011025858;Staphylococcus epidermidis;1.985;
MP_12622_ID1011025858;Candida albicans;2.153;
MP_12623_ID1011025858;Candida albicans;1.766;
MP_12624_ID1011025858;Penicillium chrysogenum;1.841;
MP_12625_ID1011025858;not reliable identification;1.37;
MP_12626_ID1011025858;Purpureocillium lilacinum;2.268;
MP_12627_ID1011025858;Aspergillus niger;2.373;
MP_12628_ID1011025858;Rhodotorula mucilaginosa;2.211;
