MP_91229_ID1011026780;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-09-15;+;Kocuria rhizophila;72000;6f448d45-d04f-40e8-8dba-50ca480f76d5;1.893;+;Kocuria rhizophila;72000;84e921b7-c8a6-4c51-a0b9-94eb5e3aa00a;1.882;+;Kocuria rhizophila;72000;db2b8bd9-fb02-42c9-8163-4ec1f548fb67;1.882;-;not reliable identification;E1;e6e99f21-ea3d-4710-94bb-d77fb817f3e0;1.584;-;not reliable identification;E1;0f4471ce-d955-4890-9910-a9e3405653e8;1.564;-;not reliable identification;E1;76e34ae8-5b3f-41a0-b32b-ec3590675640;1.402;-;not reliable identification;E1;f1ccb9bb-d088-4aca-90eb-d1552cb01090;1.386;-;not reliable identification;E1;4a3d3a36-efd2-4dc9-8cd3-93ebd7c8b4a7;1.375;-;not reliable identification;E1;72dad1df-6d69-4692-aed8-f47b73371172;1.368;-;not reliable identification;E1;469bb56b-05bc-423b-94bb-2e7fc8ceaa0b;1.362
MP_91230_ID1011026780;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-09-15;+++;Kocuria rhizophila;72000;6f448d45-d04f-40e8-8dba-50ca480f76d5;2.044;+++;Kocuria rhizophila;72000;db2b8bd9-fb02-42c9-8163-4ec1f548fb67;2.043;+++;Kocuria rhizophila;72000;84e921b7-c8a6-4c51-a0b9-94eb5e3aa00a;2.007;-;not reliable identification;E1;f1ccb9bb-d088-4aca-90eb-d1552cb01090;1.699;-;not reliable identification;E1;0f4471ce-d955-4890-9910-a9e3405653e8;1.687;-;not reliable identification;E1;e2d75231-4ba4-4616-b5f2-e2542ab1c424;1.591;-;not reliable identification;E1;e6e99f21-ea3d-4710-94bb-d77fb817f3e0;1.326;-;not reliable identification;E1;3df9583b-89aa-496d-94fe-84f7cae12218;1.188;-;not reliable identification;E1;4a3d3a36-efd2-4dc9-8cd3-93ebd7c8b4a7;1.175;-;not reliable identification;E1;89e3de78-a2d1-4aa3-b9bd-be052112d5a4;1.173
MP_91231_ID1011026780;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-09-15;+++;Staphylococcus hominis;1290;605f3c45-5813-4f3b-a6b5-167657d17554;2.141;+++;Staphylococcus hominis;145393;5e23b082-76aa-4165-b045-a5d492cfc0f4;2.057;+++;Staphylococcus hominis;1290;ea5a5ac9-9ac0-4140-9847-5ab41db0adcd;2.045;+++;Staphylococcus hominis;145391;7b34c231-ee3b-4b58-bf7f-80de1314ce76;2.021;+;Staphylococcus hominis;1290;6dc4986b-ecd2-437c-8e4d-6d95b5336e8c;1.888;+;Staphylococcus hominis;145391;cb25c9df-d4c9-4510-9627-ac25c9d32102;1.861;+;Staphylococcus hominis;145391;361808e4-83a8-45a7-9482-a3ab48717b0a;1.843;+;Staphylococcus hominis;1290;e42fa5b3-2a7d-46d6-b2e9-f55f49b91e95;1.838;-;not reliable identification;E1;70588a60-89e1-4f56-9f47-3c2ac3b9032d;1.671;-;not reliable identification;E1;beec53ae-2e07-4400-8077-cd2fbf74766f;1.613
MP_91232_ID1011026780;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-09-15;+++;Staphylococcus haemolyticus;1283;47e7c312-231a-4f79-a192-9dccad334d7c;2.018;+;Staphylococcus haemolyticus;1283;4e977d76-2fa4-4a91-842d-dfb21e083370;1.809;-;not reliable identification;E1;5e0d2b36-f285-4c37-b3f8-8a957c1b54b5;1.69;-;not reliable identification;E1;61b34193-e250-4efa-9fc9-2057aa633e28;1.662;-;not reliable identification;E1;ad4829e0-beb1-4f06-9d16-e3bd1707afb2;1.639;-;not reliable identification;E1;451d1f50-5b99-4280-b8cb-cff5f725a5d8;1.581;-;not reliable identification;E1;953bb888-aa4d-416b-8fd8-d3e075c9cc36;1.532;-;not reliable identification;E1;bb1d3135-1a65-486b-8740-a5704725bf02;1.522;-;not reliable identification;E1;c36e44ee-514d-4ba3-a77a-244e0e01929f;1.519;-;not reliable identification;E1;e0cf2631-486b-49d3-ad09-9e8895af1c64;1.488
MP_91233_ID1011026780;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-09-15;+++;Staphylococcus epidermidis;1282;affdd5db-be8f-4ee6-b395-757b3b820a98;2.161;+++;Staphylococcus epidermidis;1282;b487a1e3-895e-49ae-bc1c-e940757982cc;2.016;+;Staphylococcus epidermidis;1282;ca61ac93-70f3-4aba-a3cd-b69ba1df29c9;1.989;+;Staphylococcus epidermidis;1282;cbefbe40-89e4-438c-81ca-ac8d312eda6d;1.961;+;Staphylococcus epidermidis;1282;cf58e860-e8a8-42cb-9f41-cfea4536d54e;1.959;+;Staphylococcus epidermidis;1282;219bdfd0-cd3d-48ae-a3ed-1245691e8c9e;1.89;+;Staphylococcus epidermidis;1282;d8f3d81b-5949-4fec-96db-056d2d22cab7;1.78;+;Staphylococcus epidermidis;1282;fc503196-43eb-4d43-ba09-406712713928;1.773;-;not reliable identification;E1;84f155e4-1600-46a5-afea-eafb27233290;1.579;-;not reliable identification;E1;a0157aa1-1cb4-419c-8239-075355610383;1.467
MP_91234_ID1011026780;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-09-15;+++;Micrococcus luteus;1270;beec53ae-2e07-4400-8077-cd2fbf74766f;2.404;+++;Micrococcus luteus;1270;03baea4f-ab2e-41fa-b92c-57426f337467;2.294;+++;Micrococcus luteus;1270;df205b83-8258-4046-aa99-d71c818c6628;2.186;+++;Micrococcus luteus;1270;b8c350c2-ef58-45bd-bd2e-cb21c4978e0d;2.132;+++;Micrococcus luteus;1270;6ed61691-9887-4655-a4a7-2fbbc2bc9d05;2.113;+++;Micrococcus luteus;1270;70588a60-89e1-4f56-9f47-3c2ac3b9032d;2.103;+++;Micrococcus luteus;1270;9e126652-4575-4da4-99b5-5f8495523218;2.091;+++;Micrococcus luteus;1270;8a9c776c-2313-4855-8887-5aff2ca98ff9;2.069;+;Micrococcus luteus;1270;a4ed63bb-50dc-409f-a34d-d85c8ca123be;1.988;+;Micrococcus luteus;1270;7e64b71c-e9cd-4869-8f9d-4fa2b2e86d5b;1.945
MP_91235_ID1011026780;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-09-15;+++;Micrococcus luteus;1270;9e126652-4575-4da4-99b5-5f8495523218;2.36;+++;Micrococcus luteus;1270;beec53ae-2e07-4400-8077-cd2fbf74766f;2.279;+++;Micrococcus luteus;1270;df205b83-8258-4046-aa99-d71c818c6628;2.214;+++;Micrococcus luteus;1270;03baea4f-ab2e-41fa-b92c-57426f337467;2.179;+++;Micrococcus luteus;1270;70588a60-89e1-4f56-9f47-3c2ac3b9032d;2.177;+++;Micrococcus luteus;1270;8a9c776c-2313-4855-8887-5aff2ca98ff9;2.159;+++;Micrococcus luteus;1270;6ed61691-9887-4655-a4a7-2fbbc2bc9d05;2.066;+;Micrococcus luteus;1270;7e64b71c-e9cd-4869-8f9d-4fa2b2e86d5b;1.912;+;Micrococcus luteus;1270;b8c350c2-ef58-45bd-bd2e-cb21c4978e0d;1.851;+;Micrococcus luteus;1270;a4ed63bb-50dc-409f-a34d-d85c8ca123be;1.761
MP_91236_ID1011026780;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-09-15;+++;Micrococcus luteus;1270;03baea4f-ab2e-41fa-b92c-57426f337467;2.201;+++;Micrococcus luteus;1270;70588a60-89e1-4f56-9f47-3c2ac3b9032d;2.179;+++;Micrococcus luteus;1270;9e126652-4575-4da4-99b5-5f8495523218;2.159;+++;Micrococcus luteus;1270;8a9c776c-2313-4855-8887-5aff2ca98ff9;2.137;+++;Micrococcus luteus;1270;a4ed63bb-50dc-409f-a34d-d85c8ca123be;2.036;+++;Micrococcus luteus;1270;6ed61691-9887-4655-a4a7-2fbbc2bc9d05;2.029;+++;Micrococcus luteus;1270;7e64b71c-e9cd-4869-8f9d-4fa2b2e86d5b;2.023;+;Micrococcus luteus;1270;beec53ae-2e07-4400-8077-cd2fbf74766f;1.993;+;Micrococcus luteus;1270;df205b83-8258-4046-aa99-d71c818c6628;1.966;+;Micrococcus luteus;1270;b8c350c2-ef58-45bd-bd2e-cb21c4978e0d;1.793
MP_91237_ID1011026780;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-09-15;+++;Micrococcus luteus;1270;beec53ae-2e07-4400-8077-cd2fbf74766f;2.328;+++;Micrococcus luteus;1270;df205b83-8258-4046-aa99-d71c818c6628;17.febr;+++;Micrococcus luteus;1270;70588a60-89e1-4f56-9f47-3c2ac3b9032d;2.127;+++;Micrococcus luteus;1270;b8c350c2-ef58-45bd-bd2e-cb21c4978e0d;2.099;+++;Micrococcus luteus;1270;8a9c776c-2313-4855-8887-5aff2ca98ff9;08.febr;+++;Micrococcus luteus;1270;03baea4f-ab2e-41fa-b92c-57426f337467;07.febr;+++;Micrococcus luteus;1270;a4ed63bb-50dc-409f-a34d-d85c8ca123be;2.019;+++;Micrococcus luteus;1270;6ed61691-9887-4655-a4a7-2fbbc2bc9d05;2;+;Micrococcus luteus;1270;7e64b71c-e9cd-4869-8f9d-4fa2b2e86d5b;1.859;+;Micrococcus luteus;1270;9e126652-4575-4da4-99b5-5f8495523218;1.858
MP_91238_ID1011026780;DMHL - Dorogi Mikrobiológiai és Higiénés Labor_2020-09-15;+++;Kocuria rhizophila;72000;db2b8bd9-fb02-42c9-8163-4ec1f548fb67;2.149;+++;Kocuria rhizophila;72000;84e921b7-c8a6-4c51-a0b9-94eb5e3aa00a;14.febr;+++;Kocuria rhizophila;72000;6f448d45-d04f-40e8-8dba-50ca480f76d5;2.081;+;Kocuria rhizophila;72000;f1ccb9bb-d088-4aca-90eb-d1552cb01090;1.836;+;Kocuria salsicia;57493;e2d75231-4ba4-4616-b5f2-e2542ab1c424;1.728;-;not reliable identification;E1;e6e99f21-ea3d-4710-94bb-d77fb817f3e0;1.52;-;not reliable identification;E1;0f4471ce-d955-4890-9910-a9e3405653e8;1.366;-;not reliable identification;E1;4a3d3a36-efd2-4dc9-8cd3-93ebd7c8b4a7;1.356;-;not reliable identification;E1;07984d1e-16f4-48bb-b541-d8a4b4a60428;1.343;-;not reliable identification;E1;72dad1df-6d69-4692-aed8-f47b73371172;1.277
